Total duration (ms),Start date,Start station,End date,End station,Bike number,Subscription Type
641859,01/01/2015 01:21,7th & T St NW,01/01/2015 01:31,11th & Kenyon St NW,W20825,Registered
713613,01/01/2015 01:22,Lynn & 19th St North,01/01/2015 01:34,M St & Pennsylvania Ave NW,W20114,Registered
261,01/01/2015 01:23,Lincoln Memorial,01/01/2015 01:23,Lincoln Memorial,W21492,Registered
426571,01/01/2015 01:23,10th & U St NW,01/01/2015 01:30,14th & Harvard St NW,W01194,Registered
272452,01/01/2015 01:23,New Jersey Ave & R St NW,01/01/2015 01:28,New Jersey Ave & N St NW/Dunbar HS,W01366,Registered
138806,01/01/2015 01:23,Court House Metro / 15th & N Uhle St ,01/01/2015 01:25,N Rhodes & 16th St N,W20166,Registered
252181,01/01/2015 01:23,New Jersey Ave & R St NW,01/01/2015 01:28,New Jersey Ave & N St NW/Dunbar HS,W01024,Registered
405601,01/01/2015 01:23,Wisconsin Ave & O St NW,01/01/2015 01:30,20th & O St NW / Dupont South,W20838,Registered
7967,01/01/2015 01:24,1st & Rhode Island Ave NW,01/01/2015 01:24,1st & Rhode Island Ave NW,W20428,Registered
871815,01/01/2015 01:24,14th & V St NW,01/01/2015 01:38,Rhode Island Ave & V St NE,W00541,Registered
2360561,01/01/2015 01:25,Wilson Blvd & N Uhle St,01/01/2015 02:04,Arlington Blvd & N Queen St,W00267,Registered
101693,01/01/2015 01:24,M St & Delaware Ave NE,01/01/2015 01:26,1st & M St NE,W00861,Registered
3697634,01/01/2015 01:27,Lincoln Memorial,01/01/2015 02:28,18th & Eads St.,W21492,Casual
353514,01/01/2015 01:26,11th & H St NE,01/01/2015 01:31,Lincoln Park / 13th & East Capitol St NE ,W00937,Registered
1765692,01/01/2015 01:26,3rd & Elm St NW,01/01/2015 01:55,15th & F St NE,W20678,Registered
3320009,01/01/2015 01:26,Lincoln Memorial,01/01/2015 02:21,15th & Crystal Dr,W20522,Registered
769653,01/01/2015 01:27,11th & H St NE,01/01/2015 01:40,M St & Delaware Ave NE,W00860,Casual
3306707,01/01/2015 01:27,Lincoln Memorial,01/01/2015 02:22,15th & Crystal Dr,W20243,Registered
575425,01/01/2015 01:27,18th St & Wyoming Ave NW,01/01/2015 01:36,7th & T St NW,W00849,Registered
692668,01/01/2015 01:27,11th & H St NE,01/01/2015 01:39,M St & Delaware Ave NE,W21394,Registered
683212,01/01/2015 01:28,4th & D St NW / Judiciary Square,01/01/2015 01:39,Columbus Circle / Union Station,W00505,Registered
607007,01/01/2015 01:28,7th & T St NW,01/01/2015 01:38,1st & M St NE,W20482,Registered
546257,01/01/2015 01:28,Columbus Circle / Union Station,01/01/2015 01:37,13th & D St NE,W21146,Registered
517189,01/01/2015 01:28,Columbus Circle / Union Station,01/01/2015 01:37,13th & D St NE,W20685,Registered
1616422,01/01/2015 01:29,3rd & Elm St NW,01/01/2015 01:56,15th & F St NE,W01440,Casual
396662,01/01/2015 01:29,10th & U St NW,01/01/2015 01:36,California St & Florida Ave NW,W20969,Registered
152166,01/01/2015 01:30,Wilson Blvd & N Uhle St,01/01/2015 01:32,N Veitch  & 20th St N,W21213,Registered
505659,01/01/2015 01:31,11th & H St NE,01/01/2015 01:40,M St & Delaware Ave NE,W20319,Casual
322338,01/01/2015 01:32,8th & F St NE,01/01/2015 01:37,8th & East Capitol St NE,W00619,Registered
309987,01/01/2015 01:32,8th & F St NE,01/01/2015 01:37,8th & East Capitol St NE,W20287,Registered
426190,01/01/2015 01:32,18th St & Wyoming Ave NW,01/01/2015 01:39,21st & M St NW,W00562,Registered
786083,01/01/2015 01:33,15th & P St NW,01/01/2015 01:46,20th & E St NW,W01102,Registered
636372,01/01/2015 01:34,1st & Rhode Island Ave NW,01/01/2015 01:44,14th & R St NW,W20409,Registered
361589,01/01/2015 01:34,14th & V St NW,01/01/2015 01:40,Massachusetts Ave & Dupont Circle NW,W20730,Registered
486386,01/01/2015 01:34,Columbia Rd & Belmont St NW,01/01/2015 01:42,Park Rd & Holmead Pl NW,W21029,Registered
77496,01/01/2015 01:35,MLK Library/9th & G St NW,01/01/2015 01:36,7th & F St NW / National Portrait Gallery,W20008,Registered
923019,01/01/2015 01:35,M St & Pennsylvania Ave NW,01/01/2015 01:50,14th & V St NW,W20114,Registered
761476,01/01/2015 01:35,MLK Library/9th & G St NW,01/01/2015 01:48,18th & M St NW,W21840,Registered
181060,01/01/2015 01:36,8th & East Capitol St NE,01/01/2015 01:39,4th & East Capitol St NE,W20478,Registered
13957,01/01/2015 01:36,C & O Canal & Wisconsin Ave NW,01/01/2015 01:37,C & O Canal & Wisconsin Ave NW,W00468,Registered
1031399,01/01/2015 01:37,Connecticut Ave & Newark St NW / Cleveland Park,01/01/2015 01:54,12th & U St NW,W00345,Registered
1053195,01/01/2015 01:38,7th & R St NW / Shaw Library,01/01/2015 01:55,3000 Connecticut Ave NW / National Zoo,W21243,Casual
457768,01/01/2015 01:38,7th & R St NW / Shaw Library,01/01/2015 01:45,17th & Corcoran St NW,W21174,Registered
1229166,01/01/2015 01:39,14th & Harvard St NW,01/01/2015 02:00,11th & M St NW,W20039,Casual
668498,01/01/2015 01:41,10th & U St NW,01/01/2015 01:52,20th St & Florida Ave NW,W20646,Registered
208678,01/01/2015 01:41,Fairfax Dr & Wilson Blvd,01/01/2015 01:45,Wilson Blvd & N Oakland St,W21287,Registered
1295322,01/01/2015 01:41,Convention Center / 7th & M St NW,01/01/2015 02:03,Park Rd & Holmead Pl NW,W00325,Registered
1256126,01/01/2015 01:42,Convention Center / 7th & M St NW,01/01/2015 02:03,Park Rd & Holmead Pl NW,W20622,Registered
343821,01/01/2015 01:43,7th & T St NW,01/01/2015 01:48,15th & P St NW,W00557,Registered
205350,01/01/2015 01:43,Adams Mill & Columbia Rd NW,01/01/2015 01:47,16th & Harvard St NW,W00558,Registered
481668,01/01/2015 01:44,Van Ness Metro / UDC,01/01/2015 01:52,Connecticut & Nebraska Ave NW,W20212,Registered
384455,01/01/2015 01:44,10th & U St NW,01/01/2015 01:51,Columbia Rd & Georgia Ave NW,W20613,Registered
22989,01/01/2015 01:45,Fairfax Dr & Wilson Blvd,01/01/2015 01:45,Fairfax Dr & Wilson Blvd,W20294,Registered
618457,01/01/2015 01:45,Columbia Rd & Belmont St NW,01/01/2015 01:56,12th & U St NW,W21815,Registered
319987,01/01/2015 01:45,14th & Harvard St NW,01/01/2015 01:51,Adams Mill & Columbia Rd NW,W00582,Registered
293166,01/01/2015 01:46,Fairfax Dr & Wilson Blvd,01/01/2015 01:50,N Randolph St & Fairfax Dr,W21721,Registered
370411,01/01/2015 01:46,15th & Euclid St  NW,01/01/2015 01:52,Lamont & Mt Pleasant NW,W20216,Registered
929858,01/01/2015 01:47,11th & K St NW,01/01/2015 02:02,17th & Corcoran St NW,W00116,Registered
454270,01/01/2015 01:47,16th & Harvard St NW,01/01/2015 01:55,14th & Upshur St NW,W20713,Registered
666175,01/01/2015 01:48,Columbus Circle / Union Station,01/01/2015 01:59,Neal St & Trinidad Ave NE,W21383,Registered
530265,01/01/2015 01:48,Convention Center / 7th & M St NW,01/01/2015 01:57,14th & V St NW,W21576,Registered
289145,01/01/2015 01:49,Crystal City Metro / 18th & Bell St,01/01/2015 01:53,27th & Crystal Dr,W20936,Registered
275555,01/01/2015 01:49,18th St & Wyoming Ave NW,01/01/2015 01:54,Calvert St & Woodley Pl NW,W00273,Registered
1546571,01/01/2015 01:51,Georgia & New Hampshire Ave NW,01/01/2015 02:16,3rd & H St NW,W01409,Registered
948296,01/01/2015 01:51,New Hampshire Ave & T St NW,01/01/2015 02:07,18th & M St NW,W21738,Registered
592789,01/01/2015 01:51,14th & V St NW,01/01/2015 02:01,14th St & Spring Rd NW,W00521,Registered
864553,01/01/2015 01:52,New York Ave & 15th St NW,01/01/2015 02:06,8th & D St NW,W00479,Casual
1691233,01/01/2015 01:53,14th & R St NW,01/01/2015 02:21,4th & M St SW,W00892,Registered
1677505,01/01/2015 01:53,14th & R St NW,01/01/2015 02:21,4th & M St SW,W00251,Registered
514566,01/01/2015 01:54,14th & Harvard St NW,01/01/2015 02:02,11th & M St NW,W00307,Registered
230759,01/01/2015 01:55,15th & P St NW,01/01/2015 01:59,New Hampshire Ave & T St NW,W21620,Registered
